id_zone,type,include,stock_lb,stock_ub,bcef
temp,hw,1,0,20,0.8
temp,hw,0,0,20,4.5
temp,hw,1,20,40,0.8
temp,hw,0,20,40,2.6
temp,hw,1,40,100,0.7
temp,hw,0,40,100,1.9
temp,hw,1,100,200,0.6
temp,hw,0,100,200,1.4
temp,hw,1,200,Inf,0.55
temp,hw,0,200,Inf,1.1
temp,pi,1,0,20,0.6
temp,pi,0,0,20,2.4
temp,pi,1,20,40,0.65
temp,pi,0,20,40,1.5
temp,pi,1,40,100,0.6
temp,pi,0,40,100,1
temp,pi,1,100,200,0.4
temp,pi,0,100,200,1
temp,pi,1,200,Inf,0.4
temp,pi,0,200,Inf,1
temp,co,1,0,20,0.7
temp,co,0,0,20,4
temp,co,1,20,40,0.5
temp,co,0,20,40,2.5
temp,co,1,40,100,0.5
temp,co,0,40,100,1.4
temp,co,1,100,200,0.4
temp,co,0,100,200,1.2
temp,co,1,200,Inf,0.35
temp,co,0,200,Inf,0.9
